"UNIDADES EXECUTANTES","TIPO DE LEITO","ESPECIALIDADES","FLUXO REGULATÓRIO","PARTICULARIDADES DA SOLICITAÇÃO POR UNIDADE EXECUTANTE","COBERTURA SAD - MUNICÍPIO REFERÊNCIA X UN. EXECUTANTE","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","UTI ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL E MATERNIDADE CÉLIA CÂMARA GOIÂNIA ","ENFERMARIA ADULTO","OBSTETRÍCIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","HOSPITAL JACOB FACURY GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI NEO","NEONATOLOGIA","INTERMEDIAÇÃO","HOSPITAL JACOB FACURY GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","HOSPITAL JACOB FACURY GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI NEO","NEONATOLOGIA","INTERMEDIAÇÃO","HOSPITAL JACOB FACURY GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","HOSPITAL JACOB FACURY GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI NEO","NEONATOLOGIA","INTERMEDIAÇÃO","HOSPITAL JACOB FACURY GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","HOSPITAL JACOB FACURY GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI NEO","NEONATOLOGIA","INTERMEDIAÇÃO","HOSPITAL JACOB FACURY GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL JACOB FACURY GOIÂNIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV): IAM, MARCAPASSO","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","UTI CORONARIANA","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV): IAM, MARCAPASSO","","","","","","","","","","","","","","","","","","","","",""
